"","StartDate","EndDate","Status","IPAddress","Progress","Durationinseconds","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","welcome","accept","rmq_1","rmq_2","rmq_3","rmq_4","rmq_5","rmq_6","rmq_7","rmq_8","rmq_9","rmq_10","rmq_11","rmq_12","rmq_13","rmq_14","rmq_15","rmq_16","rmq_17","rmq_18","rmq_19","rmq_20","rmq_21","rmq_22","rmq_23","rmq_24","rmq_25","rmq_26","rmq_27","rmq_28","rmq_29","rmq_30","rmq_timer_FirstClick","rmq_timer_LastClick","rmq_timer_PageSubmit","rmq_timer_ClickCount","rfq_1","rfq_2","rfq_3","rfq_4","rfq_5","rfq_6","rfq_7","rfq_8","rfq_9","rfq_10","rfq_11","rfq__timer_FirstClick","rfq__timer_LastClick","rfq__timer_PageSubmit","rfq__timer_ClickCount","digivest_accept","digivest_app_timer_FirstClick","digivest_app_timer_LastClick","digivest_app_timer_PageSubmit","digivest_app_timer_ClickCount","digivest_test_timer_FirstClick","digivest_test_timer_LastClick","digivest_test_timer_PageSubmit","digivest_test_timer_ClickCount","digivest_use_1","digivest_use_timer_FirstClick","digivest_use_timer_LastClick","digivest_use_timer_PageSubmit","digivest_use_timer_ClickCount","bit_ctr_1","bit_timer_FirstClick","bit_timer_LastClick","bit_timer_PageSubmit","bit_timer_ClickCount","bit_cfl_11","bit_timer_FirstClick1","bit_timer_LastClick1","bit_timer_PageSubmit1","bit_timer_ClickCount1","easy","clear","perfaffected","previnvested","missedout","regret","investearlier","happier","relieved","bit_perf_text","gender","gender_3_TEXT","age","language","language_3_TEXT","ethnicity","ethnicity_7_TEXT","location","location_2_TEXT","student","education","income","heard_test","told_test","condition","MTurkCode","allo","allo_timer","allo_clicks","prev","prom","ass","loc","rfq_2r","rfq_4r","rfq_6r","rfq_8r","rfq_1r","rfq_9r","rfq_11r","rmq_2r","rmq_10r","rmq_27r","rmq_13r","rmq_24r","prev.var","prom.var","ass.var","loc.var","prevdom","prevdomc","premc","promc","amc","lmc","perfaffected.s","missedout.s","regret.s","investearlier.s","happier.s","relieved.s","hiloprev","hiloprom","hiloass","hiloloc","condD","premc.s","promc.s","allo.s","prevdomc.s","condE"
"27","2018-09-10 06:46:13","2018-09-10 06:49:24","0","70.127.195.236",100,191,"1","2018-09-10 06:49:24","R_6yFwQ1Ik8cIS9I5","","","","","28.483703613281","-82.549598693848","anonymous","EN","","1",3,2,3,3,4,4,3,3,3,2,3,1,3,1,3,3,3,2,3,3,3,4,1,3,3,2,1,2,2,4,"7.674","52.226","52.77","40",3,2,3,3,3,4,3,4,4,3,2,"2.119","17.886","18.91","12","1","0","0","20.69","0","0","0","6.812","0","30","1.493","7.135","7.739","3","","","","","","40","6.403","7.357","7.819","2",4,3,3,"0",3,3,4,4,4,"","male","",31,"english","","white","","12","","0","bachelors","$20K-$40K","0","","CF Loss","404324736",40,7.819,2,2.8,3,3.83333333333333,3.08333333333333,4,3,2,2,3,2,4,5,5,6,4,4,0.7,0.4,1.06060606060606,0.446969696969697,-0.2,-0.119694297472075,-0.51005291005291,-0.390358612580835,-0.0254508435136707,-1.25729713952131,-0.457919955626414,0.216269168573771,0.397433748463374,0.402534637579827,0.818096378965737,0.925322433814912,"loprev","loprom","loass","loloc",1,-0.621432841197919,-0.619831936944544,-0.319147637258551,-0.134432458078039,1
"29","2018-09-10 06:47:13","2018-09-10 06:49:27","0","47.32.4.227",100,133,"1","2018-09-10 06:49:27","R_wUbobdpSSPJdZRf","","","","","45.20930480957","-93.659202575684","anonymous","EN","","1",5,4,4,3,3,2,2,3,3,4,5,5,4,2,2,3,4,3,3,2,2,3,4,4,4,5,3,3,2,2,"0.894","29.028","29.7","31",3,3,4,3,2,3,4,2,4,3,3,"1.348","12.312","13.033","11","1","0","0","1.319","0","0","0","1.029","0","30","1.276","8.195","8.895","6","52","1.223","1.223","1.676","1","","","","","",3,3,3,"0",3,3,3,2,4,"na","male","",26,"english","","white","","75","","0","bachelors","$70K-$100K","0","","Control","369596387",52,1.676,1,3,3.16666666666667,2.83333333333333,3.16666666666667,3,3,3,4,3,2,3,3,3,4,3,3,0.5,0.566666666666667,0.878787878787879,0.696969696969697,-0.166666666666667,-0.0863609641387418,-0.31005291005291,-0.223691945914168,-1.02545084351367,-1.17396380618797,-0.457919955626414,0.216269168573771,0.397433748463374,-0.385221319834458,-0.659755144327207,0.925322433814912,"loprev","loprom","loass","loloc",0,-0.377758967782138,-0.355189837360541,0.024157167261341,-0.0969947352242825,-1
"31","2018-09-10 06:46:05","2018-09-10 06:49:33","0","45.4.197.10",100,208,"1","2018-09-10 06:49:34","R_8jMxHVdWmCYSyxb","","","","","40.751693725586","-73.997200012207","anonymous","EN","","1",5,6,5,5,6,5,6,5,6,5,5,6,6,5,6,6,6,5,6,5,6,6,3,5,5,6,6,5,6,6,"29.416","50.355","51.449","33",5,5,4,3,4,4,4,5,4,4,4,"1.893","24.66","25.613","15","1","0","0","2.398","0","0","0","1.694","0","30","1.386","16.464","17.119","11","","","","","","42","6.929","6.929","7.691","1",1,2,1,"1",NA,NA,NA,NA,NA,"","male","",30,"english","","white","","","","1","graddegree","$100K-$250K","1","1","CF Loss","104455556",42,7.691,1,2.2,2.83333333333333,4.58333333333333,4.75,1,3,2,1,1,2,2,1,2,1,1,2,1.7,1.76666666666667,4.08333333333333,2.56818181818182,-0.633333333333333,-0.553027630805409,-1.11005291005291,-0.557025279247501,0.724549156486329,0.409369527145359,-2.57579975039858,NA,NA,NA,NA,NA,"loprev","loprom","hiass","hiloc",1,-1.35245446144526,-0.884474036528547,-0.261930169838569,-0.621122855176873,1
"32","2018-09-10 06:45:43","2018-09-10 06:49:36","0","75.97.215.133",100,232,"1","2018-09-10 06:49:36","R_25ZsRpFdZDKwX4f","","","","","41.052993774414","-76.470100402832","anonymous","EN","","1",5,5,5,6,6,5,4,4,4,5,5,3,3,4,5,5,5,5,3,5,5,4,2,3,4,4,5,6,5,4,"1.015","32.998","33.714","39",2,4,3,4,3,2,3,4,3,2,3,"11.653","30.797","31.459","22","1","2.878","6.719","8.432","3","5.119","6.456","10.323","2","30","13.687","16.143","16.794","2","50","8.095","36.209","36.881","7","","","","","",5,4,2,"0",2,3,4,1,3,"","male","",33,"english","","white","","87","","0","doctorate","$70K-$100K","0","","Control","99626173",50,36.881,7,2.6,3,3.75,4.91666666666667,2,2,4,2,4,3,3,2,2,2,4,4,0.8,0.4,1.47727272727273,0.628787878787879,-0.4,-0.319694297472075,-0.71005291005291,-0.390358612580835,-0.108784176847004,0.576036193812026,-1.5168598530125,-0.555514923199293,0.397433748463374,0.402534637579827,-1.39868090597368,0.188717075317515,"loprev","loprom","loass","hiloc",0,-0.865106714613701,-0.619831936944544,-0.033060300158641,-0.359058795200578,-1
"33","2018-09-10 06:44:56","2018-09-10 06:49:39","0","146.252.40.129",100,282,"1","2018-09-10 06:49:40","R_3qOnnsgqO5ivOCP","","","","","34.054397583008","-118.2440032959","anonymous","EN","","1",5,6,5,4,5,6,5,5,4,5,6,5,4,5,6,5,5,6,5,4,5,6,5,4,5,6,5,4,5,6,"2.251","42.27","43.471","30",4,3,4,5,4,4,5,4,4,5,4,"7.613","32.39","34.575","11","1","0","0","5.335","0","0","0","2.971","0","30","6.939","22.112","23.83","3","","","","","","30","8.837","8.837","12.539","1",4,4,5,"1",NA,NA,NA,NA,NA,"very intresting study","male","",33,"english","","black","","8","","0","doctorate","$70K-$100K","1","1","CF Loss","75213400",30,12.539,1,2.4,3.33333333333333,4.41666666666667,4.5,3,1,2,2,2,2,2,1,2,2,3,3,1.3,2.26666666666667,3.35606060606061,0.636363636363636,-0.933333333333334,-0.853027630805409,-0.91005291005291,-0.0570252792475014,0.557882489819663,0.159369527145359,1.65995983914575,NA,NA,NA,NA,NA,"loprev","loprom","hiass","hiloc",1,-1.10878058802948,-0.0905477377765371,-0.605234974358462,-0.958062360860682,1
"36","2018-09-10 06:46:13","2018-09-10 06:49:45","0","184.74.46.178",100,212,"1","2018-09-10 06:49:46","R_6sdCe5u7yJeG1CV","","","","","43.101699829102","-78.949897766113","anonymous","EN","","1",5,5,3,4,6,2,2,5,2,5,3,2,2,1,2,4,5,5,3,3,5,2,1,2,3,2,5,5,5,2,"2.593","59.946","60.765","33",3,1,4,1,4,1,4,2,2,3,3,"2.734","25.695","26.931","11","1","0","0","4.842","0","0","0","9.709","0","30","9.673","9.673","10.363","1","100","10.355","10.355","10.977","1","","","","","",4,5,4,"0",2,2,3,3,2,"","male","",40,"english","","white","","83","","0","graddegree","$70K-$100K","0","","Control","495872475",100,10.977,1,4.6,3.5,2.25,4.58333333333333,5,5,5,4,3,4,3,2,2,2,5,5,0.3,0.3,0.204545454545455,0.810606060606061,1.1,1.18030570252792,1.28994708994709,0.109641387419165,-1.608784176847,0.242702860478692,0.601019941759668,-0.555514923199293,-0.357898454113614,-0.385221319834458,0.0791706173192649,-0.547888283179883,"hiprev","hiprom","loass","hiloc",0,1.57163201954411,0.174094361807466,1.39737638534091,1.32563873321846,-1
"37","2018-09-10 06:45:27","2018-09-10 06:49:49","0","104.129.131.125",100,261,"1","2018-09-10 06:49:49","R_2dm3cSnmg6W6S75","","","","","33.020004272461","-96.741897583008","anonymous","EN","","1",5,4,4,5,4,5,5,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,4,5,4,5,5,4,5,4,"3.895","42.951","44.23","32",3,3,3,4,3,3,4,3,4,3,3,"4.513","42.815","44.487","12","1","0","0","3.125","0","0","0","2.17","0","30","3.046","21.84","23.845","7","43","5.711","5.711","7.538","1","","","","","",4,3,2,"1",NA,NA,NA,NA,NA,"GOOD","female","",21,"english","","white","","96","","1","graddegree","$40K-$70K","1","1","Control","311842820",43,7.538,1,2.8,3,4.16666666666667,4,3,2,3,3,3,2,3,3,3,2,3,2,0.2,0.4,1.06060606060606,0.727272727272727,-0.2,-0.119694297472075,-0.51005291005291,-0.390358612580835,0.307882489819663,-0.340630472854641,-1.5168598530125,NA,NA,NA,NA,NA,"loprev","loprom","hiass","loloc",0,-0.621432841197919,-0.619831936944544,-0.233321436128578,-0.134432458078039,-1
"39","2018-09-10 06:46:57","2018-09-10 06:49:57","0","107.209.10.169",100,179,"1","2018-09-10 06:49:57","R_3h5RnyY0df5gFRp","","","","","29.069702148438","-81.271102905273","anonymous","EN","","1",6,5,4,3,3,4,3,3,5,4,3,3,4,3,4,4,5,4,3,3,4,3,4,4,5,4,4,4,3,4,"5.337","28.255","29.137","35",3,3,2,2,4,3,4,4,4,4,4,"6.701","25.542","26.414","17","1","1.481","1.481","2.346","1","1.26","1.26","1.942","1","30","5.641","15.916","18.069","4","","","","","","50","1.524","9.049","10.13","2",2,3,3,"1",NA,NA,NA,NA,NA,"good and fresh","female","",20,"english","","white","","12","","1","somecollege",NA,"1","1","CF Loss","117694525",50,10.13,2,3.2,2.83333333333333,3.33333333333333,3.75,3,4,3,2,3,2,2,2,3,3,3,3,0.7,0.966666666666667,0.606060606060606,0.931818181818182,0.366666666666667,0.446972369194591,-0.11005291005291,-0.557025279247501,-0.525450843513671,-0.590630472854641,-0.457919955626414,NA,NA,NA,NA,NA,"loprev","loprom","loass","loloc",1,-0.134085094366356,-0.884474036528547,-0.033060300158641,0.502008830435821,1
"40","2018-09-10 06:45:26","2018-09-10 06:50:01","0","72.28.171.16",100,275,"1","2018-09-10 06:50:01","R_3kA5Zg3TOKbvLsm","","","","","33.448303222656","-81.692100524902","anonymous","EN","","1",3,4,4,2,2,1,1,2,3,3,4,1,3,4,4,2,3,3,4,4,4,3,2,4,2,3,5,3,2,3,"0.982","43.443","44.274","33",3,1,1,1,5,2,4,1,2,1,4,"2.697","20.357","22.385","11","1","32.937","33.801","45.983","2","2.629","3.714","4.826","2","30","45.881","51.681","52.416","2","","","","","","0","8.284","8.284","8.94","1",5,4,3,"0",1,1,1,1,1,"","female","",29,"english","","multi","","93","","0","graddegree","$10K-$20K","0","","CF Loss","334305118",0,8.94,1,4.8,2.5,3,2.75,5,5,4,5,3,4,2,3,4,2,4,3,0.2,1.9,1.27272727272727,0.75,2.3,2.38030570252792,1.48994708994709,-0.890358612580835,-0.858784176847004,-1.59063047285464,-0.457919955626414,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"hiprev","loprom","loass","loloc",1,1.8153058929599,-1.41375823569655,-1.46349698565819,2.6733967559537,1
"41","2018-09-10 06:45:18","2018-09-10 06:50:01","0","71.220.239.1",100,283,"1","2018-09-10 06:50:02","R_1MRjUv9zA7yn2Z6","","","","","30.525207519531","-84.332099914551","anonymous","EN","","1",3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,5,4,5,4,4,"0.935","34.638","34.956","38",3,3,3,3,3,2,3,3,3,3,2,"7.233","30.785","31.295","23","1","8.62","8.62","9.24","1","0.968","0.968","1.563","1","30","1.347","9.723","10.167","5","5","1.792","3.834","4.621","2","","","","","",3,2,3,"0",3,3,3,2,2,"na","male","",28,"english","","black","","12","","0","somecollege","$20K-$40K","0","","Control","11186149",5,4.621,2,3.2,3.16666666666667,3.33333333333333,3.5,3,3,4,3,3,3,4,4,4,3,4,4,0.2,0.166666666666667,0.242424242424242,0.454545454545455,0.0333333333333337,0.113639035861258,-0.11005291005291,-0.223691945914168,-0.525450843513671,-0.840630472854641,-0.457919955626414,0.216269168573771,0.397433748463374,-0.385221319834458,-0.659755144327207,-0.547888283179883,"loprev","loprom","loass","loloc",0,-0.134085094366356,-0.355189837360541,-1.32045331710824,0.127631601898257,-1
