"","StartDate","EndDate","Progress","Durationinseconds","Finished","ResponseId","UserLanguage","accept","rmq_1","rmq_2","rmq_3","rmq_4","rmq_5","rmq_6","rmq_7","rmq_8","rmq_9","rmq_10","rmq_11","rmq_12","rmq_13","rmq_14","rmq_15","rmq_16","rmq_17","rmq_18","rmq_19","rmq_20","rmq_21","rmq_22","rmq_23","rmq_24","rmq_25","rmq_26","rmq_27","rmq_28","rmq_29","rmq_30","rmq_timer_FirstClick","rmq_timer_LastClick","rmq_timer_PageSubmit","rmq_timer_ClickCount","rfq_1","rfq_2","rfq_3","rfq_4","rfq_5","rfq_6","rfq_7","rfq_8","rfq_9","rfq_10","rfq_11","rfq__timer_FirstClick","rfq__timer_LastClick","rfq__timer_PageSubmit","rfq__timer_ClickCount","digivest_accept","digivest_app_timer_FirstClick","digivest_app_timer_LastClick","digivest_app_timer_PageSubmit","digivest_app_timer_ClickCount","digivest_test_timer_FirstClick","digivest_test_timer_LastClick","digivest_test_timer_PageSubmit","digivest_test_timer_ClickCount","digivest_use_1","digivest_use_timer_FirstClick","digivest_use_timer_LastClick","digivest_use_timer_PageSubmit","digivest_use_timer_ClickCount","bit_ctr_1","bit_timer_FirstClick","bit_timer_LastClick","bit_timer_PageSubmit","bit_timer_ClickCount","bit_cfl_11","bit_timer_FirstClick1","bit_timer_LastClick1","bit_timer_PageSubmit1","bit_timer_ClickCount1","easy","clear","perfaffected","previnvested","missedout","regret","investearlier","happier","relieved","bit_perf_text","gender","gender_3_TEXT","age","language","language_3_TEXT","ethnicity","ethnicity_7_TEXT","location","location_2_TEXT","student","education","income","heard_test","told_test","condition","allo","allo_timer","allo_clicks","prev","prom","ass","loc","rfq_2r","rfq_4r","rfq_6r","rfq_8r","rfq_1r","rfq_9r","rfq_11r","rmq_2r","rmq_10r","rmq_27r","rmq_13r","rmq_24r","prev.var","prom.var","ass.var","loc.var","prevdom","prevdomc","premc","promc","amc","lmc","perfaffected.s","missedout.s","regret.s","investearlier.s","happier.s","relieved.s","hiloprev","hiloprom","hiloass","hiloloc","condD","premc.s","promc.s","allo.s","prevdomc.s","condE","countryCode","countryName","asn","isp","block","hostname","block12","block.d"
"63","2018-09-10 06:45:05","2018-09-10 06:47:50",100,165,"1","R_25GFGE49g3TidGx","EN","1",5,3,2,1,6,3,2,3,5,4,3,2,6,4,3,2,3,3,1,3,5,4,2,3,2,1,3,5,4,2,"0.765","32.952","33.601","79",5,5,2,4,3,4,3,2,3,4,4,"0.982","9.018","9.836","30","1","2.9","4.384","12.302","2","2.43","3.428","3.474","2","30","0.906","10.647","11.309","4","","","","","","0","0.602","8.484","9.142","6",4,4,4,"0",3,5,5,5,4,"Great survey easy to understand ","male","",27,"english","","white","","7","","0","graddegree","$70K-$100K","0","","CF Loss",0,9.142,6,2.4,2.5,3.08333333333333,3.33333333333333,1,2,2,4,1,3,2,4,3,4,1,4,1.3,1.1,1.17424242424242,2.96969696969697,-0.1,-0.0196942974720753,-0.91005291005291,-0.890358612580835,-0.775450843513671,-1.00729713952131,0.601019941759668,0.216269168573771,1.90809815361735,1.19029059499411,1.55702214061221,0.925322433814912,"loprev","loprom","loass","loloc",1,-1.10878058802948,-1.41375823569655,-1.46349698565819,-0.0221192895167698,1,"US","United States","20057","ATT-MOBILITY-LLC-AS20057",0,"107.77.201.214",0,0
"64","2018-09-10 07:00:49","2018-09-10 07:04:20",100,210,"1","R_R8fSHliMGotQLNn","EN","1",4,2,4,4,4,2,2,4,2,5,2,2,4,3,2,4,3,3,4,4,4,3,3,3,4,3,4,4,3,2,"2.329","59.701","60.59","84",3,2,2,3,4,2,3,2,3,3,2,"1.394","18.192","18.967","37","1","3.045","7.144","8.267","2","3.845","7.161","8.426","2","30","2.288","8.049","9.181","8","","","","","","0","0.867","7.086","7.965","4",5,4,3,"0",1,1,1,1,1,"None","female","",43,"english","","white","","96","","0","graddegree","$100K-$250K","0","","CF Loss",0,7.965,4,3.8,3,2.75,3.83333333333333,4,3,4,4,3,3,4,5,2,3,3,4,0.2,0.4,1.11363636363636,0.151515151515152,0.8,0.880305702527925,0.48994708994709,-0.390358612580835,-1.108784176847,-0.507297139521307,-0.457919955626414,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"hiprev","loprom","loass","loloc",1,0.596936525880988,-0.619831936944544,-1.46349698565819,0.988699227534655,1,"US","United States","20057","ATT-MOBILITY-LLC-AS20057",0,"107.77.201.78",0,0
"65","2018-09-10 06:45:33","2018-09-10 06:57:22",100,709,"1","R_2dVWj680Q4WWbOH","EN","1",4,1,1,6,6,6,5,6,5,1,5,1,1,6,5,6,1,1,4,4,6,5,1,1,6,1,1,6,6,5,"4.381","299.366","300.035","81",3,3,4,3,4,3,4,2,1,4,1,"2.8","37.899","38.286","57","1","1.735","22.989","27.743","9","8.759","9.293","14.522","2","30","2.886","47.672","48.671","10","100","0.826","19.246","19.801","11","","","","","",5,5,4,"0",1,1,3,1,1,"","male","",35,"english","","white","","102","","0","doctorate","$70K-$100K","0","","Control",100,19.801,11,3.4,4.16666666666667,5.16666666666667,5.41666666666667,3,3,3,4,3,5,5,6,6,6,6,6,0.3,0.566666666666667,0.515151515151515,2.26515151515152,-0.766666666666667,-0.686360964138742,0.0899470899470898,0.776308054085832,1.30788248981966,1.07603619381203,0.601019941759668,-1.32729901497236,-1.1132306566906,-0.385221319834458,-1.39868090597368,-1.28449364167728,"hiprev","hiprom","hiass","hiloc",0,0.109588779049425,1.23266276014348,1.39737638534091,-0.7708737465919,-1,"US","United States","20057","ATT-MOBILITY-LLC-AS20057",0,"107.77.203.97",0,0
"66","2018-09-10 06:46:48","2018-09-10 06:54:20",100,452,"1","R_3Gs1y5NXfB9XBqf","EN","1",1,1,5,5,5,2,5,5,5,3,5,1,4,1,2,5,2,1,6,5,5,2,2,4,5,2,1,5,4,4,"4.28","82.734","85.273","89",1,4,5,5,4,3,4,3,1,4,4,"2.756","83.495","84.519","47","1","3.318","12.71","16.842","6","1.419","2.859","4.961","2","30","1.383","11.744","12.247","7","0","1.618","17.239","17.751","7","","","","","",5,5,3,"0",3,3,4,3,3,"","male","",29,"english","","white","","12","","0","doctorate","$100K-$250K","0","","Control",0,17.751,7,2.6,4.16666666666667,4.33333333333333,4.25,2,1,3,3,5,5,2,6,4,6,3,3,1.3,1.36666666666667,2.42424242424242,1.65909090909091,-1.56666666666667,-1.48636096413874,-0.71005291005291,0.776308054085832,0.474549156486329,-0.0906304728546408,-0.457919955626414,0.216269168573771,0.397433748463374,0.402534637579827,0.0791706173192649,0.188717075317515,"loprev","hiprom","hiass","loloc",0,-0.865106714613701,1.23266276014348,-1.46349698565819,-1.66937909508206,-1,"US","United States","20057","ATT-MOBILITY-LLC-AS20057",0,"107.77.215.178",0,0
"74","2018-09-10 06:46:30","2018-09-10 07:06:17",100,1187,"1","R_RmncHb35lWVOqad","EN","1",6,1,4,6,6,6,6,6,6,1,5,1,1,1,5,5,6,1,4,4,6,1,6,1,6,1,4,6,6,6,"0.936","176.934","177.721","41",1,3,5,3,4,3,5,2,1,5,1,"19.181","64.227","65.269","23","1","30.368","30.368","77.503","1","19.206","19.206","45.351","1","30","0.506","34.338","35.6","2","40","0.531","23.138","24.505","2","","","","","",5,5,4,"0",3,3,5,3,3,"","female","",33,"english","","white","","76","","1","bachelors","$70K-$100K","0","","Control",40,24.505,2,3.4,5,4.83333333333333,5.75,3,3,3,4,5,5,5,6,6,3,6,6,0.3,0,2.51515151515152,0.386363636363636,-1.6,-1.51969429747208,0.0899470899470898,1.60964138741917,0.974549156486329,1.40936952714536,0.601019941759668,0.216269168573771,0.397433748463374,1.19029059499411,0.0791706173192649,0.188717075317515,"hiprev","hiprom","hiass","hiloc",0,0.109588779049425,2.5558732580635,-0.319147637258551,-1.70681681793581,-1,"US","United States","7018","ATT-INTERNET4",0,"108.203.100.224",0,0
"75","2018-09-10 06:47:44","2018-09-10 06:58:30",100,645,"1","R_5pBiVTuKdD4myVr","EN","1",3,2,3,4,4,4,3,3,3,4,4,1,4,2,5,4,3,2,5,5,3,5,2,3,2,2,2,4,3,4,"14.336","281.905","283.028","35",2,2,3,2,4,2,3,2,2,4,2,"5.096","58.566","59.459","12","1","0","0","19.6","0","0","0","14.023","0","30","15.007","15.007","16.104","1","","","","","","100","6.013","6.013","6.62","1",2,2,4,"0",1,1,3,1,1,"This study was interesting.","male","",48,"english","","white","","12","","0","associates","$10K-$20K","0","","CF Loss",100,6.62,1,4,3.66666666666667,4.25,3.33333333333333,4,4,4,4,4,4,4,5,3,5,3,4,0,0.266666666666667,0.75,0.424242424242424,0.333333333333333,0.413639035861258,0.68994708994709,0.276308054085832,0.391215823152996,-1.00729713952131,0.601019941759668,-1.32729901497236,-1.1132306566906,-0.385221319834458,-1.39868090597368,-1.28449364167728,"hiprev","hiprom","hiass","loloc",1,0.84061039929677,0.438736461391469,1.39737638534091,0.464571107582065,1,"US","United States","7018","ATT-INTERNET4",0,"108.230.214.89",0,0
"76","2018-09-10 06:46:48","2018-09-10 06:52:19",100,330,"1","R_2f6VLpnv3kaNdgO","EN","1",4,1,2,6,5,4,4,4,6,3,4,1,3,3,6,6,1,3,4,6,4,2,1,3,5,1,1,5,4,2,"4.878","161.861","164.339","34",3,2,4,2,5,2,3,2,3,3,2,"1.992","16.978","18.093","11","1","0","0","5.737","0","0","0","7.032","0","30","8.262","8.262","9.02","1","","","","","","20","6.466","6.466","7.216","1",5,5,4,"0",1,1,3,2,1,"","female","",23,"english","","white","","69","","1","bachelors","$20K-$40K","0","","CF Loss",20,7.216,1,4.2,3.33333333333333,4.5,4.41666666666667,4,4,4,4,3,3,4,6,4,6,4,4,0.2,0.266666666666667,2.27272727272727,1.17424242424242,0.866666666666667,0.946972369194591,0.88994708994709,-0.0570252792475014,0.641215823152996,0.0760361938120262,0.601019941759668,-1.32729901497236,-1.1132306566906,-0.385221319834458,-0.659755144327207,-1.28449364167728,"hiprev","loprom","hiass","loloc",1,1.08428427271255,-0.0905477377765371,-0.891322311458372,1.06357467324217,1,"US","United States","7018","ATT-INTERNET4",0,"108.245.152.51",0,0
"77","2018-09-10 07:01:18","2018-09-10 07:09:21",100,482,"1","R_AjMqNvjoEYQzU7D","EN","1",5,2,3,2,4,3,4,4,1,2,6,2,5,5,2,3,4,2,4,5,3,2,5,5,5,2,3,4,3,2,"0","0","145.662","0",4,1,3,1,5,1,4,2,5,3,2,"7.127","54.485","55.472","14","1","0","0","17.775","0","0","0","19.398","0","30","35.325","35.325","36.308","1","","","","","","85","19.341","22.801","23.562","2",5,5,4,"0",2,2,4,3,3,"","male","",25,"english","","black","","72","","0","associates","$70K-$100K","0","","CF Loss",85,23.562,2,4.8,2.83333333333333,3.58333333333333,3.33333333333333,5,5,5,4,2,1,4,5,5,4,2,2,0.2,1.36666666666667,2.4469696969697,1.15151515151515,1.96666666666667,2.04697236919459,1.48994708994709,-0.557025279247501,-0.275450843513671,-1.00729713952131,0.601019941759668,-0.555514923199293,-0.357898454113614,0.402534637579827,0.0791706173192649,0.188717075317515,"hiprev","loprom","loass","loloc",1,1.8153058929599,-0.884474036528547,0.968245379691045,2.29901952741613,1,"US","United States","701","UUNET",0,"108.48.147.136",0,0
"78","2018-09-10 07:15:08","2018-09-10 07:19:55",100,286,"1","R_2cdBDsh4OyIXTSv","EN","1",5,4,3,4,5,5,3,5,4,2,2,1,4,3,4,4,4,4,3,4,3,3,3,3,4,3,5,5,5,2,"13.408","89.274","89.959","53",2,1,1,1,5,2,4,2,4,4,4,"5.514","39.593","40.023","16","1","0","0","6.844","0","0","0","7.052","0","30","6.894","6.894","7.473","1","","","","","","50","14.796","15.334","15.901","2",4,5,4,"0",3,3,4,3,3,"","female","",28,"english","","asian","","92","","0","doctorate","$100K-$250K","0","","CF Loss",50,15.901,2,4.6,2.83333333333333,3.33333333333333,4.16666666666667,5,5,4,4,4,2,2,3,5,2,3,4,0.3,1.76666666666667,1.15151515151515,0.696969696969697,1.76666666666667,1.84697236919459,1.28994708994709,-0.557025279247501,-0.525450843513671,-0.173963806187974,0.601019941759668,0.216269168573771,0.397433748463374,0.402534637579827,0.0791706173192649,0.188717075317515,"hiprev","loprom","loass","loloc",1,1.57163201954411,-0.884474036528547,-0.033060300158641,2.07439319029359,1,"US","United States","701","UUNET",0,"108.49.244.99",0,0
"79","2018-09-10 06:46:13","2018-09-10 07:00:21",100,847,"1","R_2fDLWKOEueETmWp","EN","1",5,5,4,4,4,2,4,4,4,5,4,2,5,5,4,5,5,6,5,5,5,3,5,4,5,6,5,5,3,5,"1.75","151.198","179.6","44",4,3,2,4,3,4,3,2,4,3,4,"12.151","33.87","103.18","12","1","0","0","50.027","0","0","0","51.487","0","30","4.868","52.892","53.787","2","0","6.6","6.6","7.61","1","","","","","",3,4,3,"0",1,1,4,4,4,"great task","male","",26,"english","","white","","83","","0","bachelors","$20K-$40K","0","","Control",0,7.61,1,2.8,2.33333333333333,3.5,4.08333333333333,3,2,2,4,2,2,2,2,2,2,2,3,0.7,0.266666666666667,1.54545454545455,0.992424242424242,0.466666666666666,0.546972369194591,-0.51005291005291,-1.0570252792475,-0.358784176847004,-0.257297139521308,-0.457919955626414,-1.32729901497236,-1.1132306566906,0.402534637579827,0.818096378965737,0.925322433814912,"loprev","loprom","loass","loloc",0,-0.621432841197919,-1.67840033528056,-1.46349698565819,0.61432199899709,-1,"US","United States","701","UUNET",0,"108.54.68.206",0,0
